Site,CODE,Strata,Species,No.,72CAT_1,72CAT_2,72CAT_3,72CAT_4,72CAT_5,collector,date,weather,Bird72,Arth72,Mam72,Lost72,NonLost72H,TotalPred72H,Survived72H,BirdProp,ArthProp,72CAT_1,72CAT_2,72CAT_3,72CAT_4,72CAT_5
TOM,TOM_SP12,C,Carpinus_cordata,1,1,Arth,1,1,Bird,abe+katka/mata,23/07/2018,"nice, sunny",1,1,0,0,5,2,3,0.2,0.2,,,,,1
TOM,TOM_SP12,C,Carpinus_cordata,5,1,1,1,Mam,Bird,abe+katka/mata,23/07/2018,"nice, sunny",1,0,1,0,5,2,3,0.2,0,,,,,1
TOM,TOM_SP11,C,Fraxinus_lanuginosa,6,1,1,1,1,Arth,abe+katka/mata,23/07/2018,"nice, sunny",0,1,0,0,5,1,4,0,0.2,,,,,
TOM,TOM_SP11,C,Fraxinus_lanuginosa,7,1,1,1,1,Arth,abe+katka/mata,23/07/2018,"nice, sunny",0,1,0,0,5,1,4,0,0.2,,,,,
DRO,DRO_SP4,U,Haplosticanthus_ramiflorus,6,1,Arth,Arth,1,AB,marketa,29/11/2018,sunny,1,2,0,0,5,3,2,0.2,0.4,,,,,1
DRO,DRO_SP9,C,Cryptocarya_sp.,1,1,1,Bird,1,1,marketa,29/11/2018,sunny,1,0,0,0,5,1,4,0.2,0,,,1,,
TOM,TOM_SP12,C,Carpinus_cordata,2,1,1,1,1,1,abe+katka/mata,23/07/2018,"nice, sunny",0,0,0,0,5,0,5,0,0,,,,,
TOM,TOM_SP12,C,Carpinus_cordata,3,1,1,Arth,Arth,Arth,abe+katka/mata,23/07/2018,"nice, sunny",0,3,0,0,5,3,2,0,0.6,,,,,
TOM,TOM_SP12,C,Carpinus_cordata,4,1,1,1,1,1,abe+katka/mata,23/07/2018,"nice, sunny",0,0,0,0,5,0,5,0,0,,,,,
DRO,DRO_SP9,C,Cryptocarya_sp.,2,1,1,Bird,Arth,Arth,marketa,29/11/2018,sunny,1,2,0,0,5,3,2,0.2,0.4,,,1,,
TOM,TOM_SP12,C,Carpinus_cordata,6,1,1,Arth,Mam,1,abe+katka/mata,23/07/2018,"nice, sunny",0,1,1,0,5,2,3,0,0.2,,,,,
TOM,TOM_SP12,C,Carpinus_cordata,7,1,1,1,Arth,Mam,abe+katka/mata,23/07/2018,"nice, sunny",0,1,1,0,5,2,3,0,0.2,,,,,
